time,signal
0.0,13.682941969615793
0.0001,13.783865065433902
0.0002,13.869595327420505
0.00030000000000000003,13.939238936135046
0.0004,13.992039587334357
0.0005,14.027387192339468
0.0006000000000000001,14.044825327610994
0.0007,14.044057333399223
0.0008,14.024950973127494
0.0009000000000000001,13.987541578334296
0.001,13.93203361841702
0.0011,13.858800649943463
0.0012000000000000001,13.768383616761497
0.0013000000000000002,13.661487489360127
0.0014,13.538976249719095
0.0015,13.401866246018061
0.0016,13.251317959839584
0.0017000000000000001,13.088626246664514
0.0018000000000000002,12.915209128291938
0.0019,12.73259523308599
0.002,12.542409996428322
0.0021000000000000003,12.346360749214327
0.0022,12.146220836458197
0.0023,11.943812920865293
0.0024000000000000002,11.740991637403347
0.0025,11.539625774289602
0.0026000000000000003,11.341580163262757
0.0027,11.148697467404128
0.0028,10.96278005801513
0.0029000000000000002,10.785572173078767
0.003,10.618742548591161
0.0031000000000000003,10.463867710534224
0.0032,10.322416109492515
0.0033,10.195733271945192
0.0034000000000000002,10.085028132167968
0.0035,9.991360696568151
0.0036000000000000003,9.915631178284485
0.0037,9.858570724174776
0.0038,9.820733839073839
0.0039000000000000003,9.802492593639755
0.004,9.804032682443255
0.0041,9.825351378435087
0.004200000000000001,9.866257408802797
0.0043,9.926372755763865
0.0044,10.005136364304251
0.0045000000000000005,10.101809717528585
0.0046,10.21548421940734
0.0047,10.345090304547494
0.0048000000000000004,10.489408175427286
0.0049,10.647080049560348
0.005,10.816623782510682
0.0051,10.996447717769652
0.005200000000000001,11.184866601408602
0.0053,11.380118388290875
0.0054,11.580381757593052
0.0055000000000000005,11.783794148547035
0.0056,11.988470122742463
0.0057,12.192519857062866
0.0058000000000000005,12.394067571378173
0.0059,12.591269697459579
0.006,12.782332600168704
0.0061,12.965529668721404
0.006200000000000001,13.139217604629366
0.0063,13.301851743645821
0.0064,13.452000261527948
0.006500000000000001,13.588357127498885
0.0066,13.70975368474978
0.0067,13.815168753954008
0.0068000000000000005,13.903737173347011
0.006900000000000001,13.974756707222284
0.007,14.027693273467587
0.0071,14.062184459774251
0.007200000000000001,14.078041317156757
0.0073,14.07524843818443
0.0074,14.053962345625214
0.007500000000000001,14.014508234817033
0.0076,13.957375129813455
0.0077,13.883209529011657
0.0078000000000000005,13.792807630395371
0.0079,13.687106239568005
0.008,13.567172475287684
0.0081,13.43419239714701
0.0082,13.289458688290138
0.0083,13.134357532578276
0.008400000000000001,12.97035483037586
0.0085,12.798981900133054
0.0086,12.621820814208368
0.008700000000000001,12.440489516954276
0.0088,12.256626871045901
0.0089,12.071877774454892
0.009000000000000001,11.887878485462993
0.0091,11.706242286791943
0.0092,11.528545612432705
0.009300000000000001,11.356314752231228
0.0094,11.191013239882425
0.0095,11.034030019856445
0.009600000000000001,10.886668478091817
0.0097,10.750136410198856
0.0098,10.625536989581594
0.0099,10.513860786460295
0.01,10.415978877404628
0.010100000000000001,10.332637073806064
0.0102,10.264451286852427
0.0103,10.211904036129651
0.010400000000000001,10.175342099064688
0.0105,10.154975289122417
0.0106,10.150876342046358
0.010700000000000001,10.162981881540158
0.0108,10.191094428660055
0.0109,10.234885412848385
0.011000000000000001,10.293899136989856
0.0111,10.367557644106581
0.0112,10.455166429302837
0.011300000000000001,10.555920937291553
0.0114,10.668913783237677
0.0115,10.793142632685246
0.011600000000000001,10.927518674935316
0.0117,11.07087562334572
0.0118,11.221979175562963
0.0119,11.379536866601693
0.012,11.542208247890096
0.012100000000000001,11.708615325833751
0.0122,11.87735319405436
0.0123,12.047000794177595
0.012400000000000001,12.216131740826816
0.0125,12.383325147286733
0.0126,12.547176389101839
0.012700000000000001,12.70630774364736
0.0128,12.85937884444527
0.0129,13.005096889694185
0.013000000000000001,13.142226545149905
0.0131,13.269599482154076
0.0132,13.38612349229099
0.013300000000000001,13.490791120896063
0.0134,13.582687762489616
0.0135,13.660999162218317
0.013600000000000001,13.725018268610764
0.0137,13.774151384452912
0.013800000000000002,13.807923564423993
0.013900000000000001,13.825983210364972
0.014,13.8281058177368
0.014100000000000001,13.814196830018528
0.0142,13.784293561543118
0.0143,13.738566153610593
0.014400000000000001,13.677317533684542
0.0145,13.600982353087332
0.0146,13.510124884868892
0.014700000000000001,13.405435870426858
0.0148,13.287728310981686
0.0149,13.157932208123965
0.015000000000000001,13.017088266302496
0.0151,12.86634057924606
0.0152,12.70692833182984
0.015300000000000001,12.5401765587167
0.0154,12.367486011117679
0.0155,12.19032219310843
0.015600000000000001,12.010203638981784
0.015700000000000002,11.828689512975314
0.0158,11.647366622245807
0.0159,11.467835943023944
0.016,11.291698768325398
0.0161,11.120542593272196
0.0162,10.955926860848125
0.016300000000000002,10.799368696636732
0.0164,10.652328765641444
0.0165,10.516197387547393
0.0166,10.39228104864887
0.0167,10.281789449046558
0.016800000000000002,10.18582322254401
0.016900000000000002,10.105362463891183
