msd,ls,pressure
49280.0,156.42751602294072,757.3445330237989
49280.041666666664,156.44990964512414,758.2533040393822
49280.08333333333,156.4723049083264,759.1738932393407
49280.12499999999,156.4947017438805,761.3062993881111
49280.16666666666,156.51710034156054,763.9008884961727
49280.20833333332,156.5395004523952,764.5930339916761
49280.249999999985,156.56190227547194,764.6615376819997
49280.29166666665,156.584305825741,772.7063114510556
49280.333333333314,156.6067109435052,780.4661715458942
49280.37499999998,156.62911769414816,769.9236842159019
49280.41666666664,156.65152608692674,749.3575086619963
49280.45833333331,156.67393612021502,735.7385970297019
49280.49999999997,156.69634779729296,726.6160746616205
49280.541666666635,156.71876111694874,716.7485746435995
49280.5833333333,156.74117607967287,706.9862425772859
49280.62499999996,156.76359268380008,698.600125983544
49280.66666666663,156.78601093263762,694.0569740487042
49280.70833333329,156.80843082479043,692.6818712614318
49280.749999999956,156.8308523611182,698.3769352329231
49280.79166666662,156.85327553943915,718.9677902997656
49280.833333333285,156.87570036296327,739.4882968569756
49280.87499999995,156.89812683236613,741.317580485733
49280.91666666661,156.92055494558645,739.7286652397274
49280.95833333328,156.9429847039159,749.3338116030812
49280.99999999994,156.96541610566132,757.1629199757806
49281.041666666606,156.98784915427703,757.7310447630709
49281.08333333327,157.01028384728608,758.7757635262852
49281.124999999935,157.0327201872133,761.2339562883147
49281.1666666666,157.0551581732742,763.9240531760693
49281.20833333326,157.07759780386223,764.8834990008042
49281.24999999993,157.10003899004968,765.2941629771633
49281.29166666659,157.12248199802457,773.6497048848844
49281.333333333256,157.14492648636082,781.8154973201359
49281.37499999992,157.16737278809813,771.1158563138043
49281.416666666584,157.18982066359393,749.8902638700848
49281.45833333325,157.21227017756033,736.1130588311805
49281.49999999991,157.2347213394158,727.0733860275465
49281.54166666658,157.25717414760953,717.0628280699016
49281.58333333324,157.2796286054478,707.2985217254657
49281.624999999905,157.30208471169306,698.8219998337626
49281.66666666657,157.32454246688073,694.1231549996772
49281.708333333234,157.347001869095,692.8893038876172
49281.7499999999,157.3694629218544,698.2469016058433
49281.79166666656,157.39192643052195,718.195237194458
49281.83333333323,157.41439629149815,738.8866224900419
49281.87499999989,157.43686615247435,740.8386807469524
49281.916666666555,157.45933601345052,738.8924490057618
49281.95833333322,157.48180587442673,748.8124513412587
49281.99999999988,157.50427573540293,756.9560160692992
49282.04166666655,157.52674559637913,757.2977642127274
49282.08333333321,157.54921545735533,758.7327099620807
49282.124999999876,157.57168659302783,761.454115737388
49282.16666666654,157.59416420461437,763.8666001675556
49282.208333333205,157.616643314481,765.2324083830063
49282.24999999987,157.63912417015422,766.1130185058987
49282.29166666653,157.66160676572974,774.4087477436827
49282.3333333332,157.68409093769438,782.9328407325479
49282.37499999986,157.70657665951143,772.4539296756028
49282.416666666526,157.72906421073637,750.6925361611667
49282.45833333319,157.7515533412308,736.7102964811073
49282.499999999854,157.77404411543463,727.7909269916868
49282.54166666652,157.7965365431514,717.4393613733387
49282.58333333318,157.81903062267648,707.3604510659409
49282.62499999985,157.8415263573159,698.850744175134
49282.66666666651,157.8640237458762,693.838191246469
49282.708333333176,157.88652278864035,692.2516529358679
49282.74999999984,157.90902348536142,697.8542291183381
49282.791666666504,157.93152583615114,718.0615096786925
49282.83333333317,157.95402984200024,738.2513339751055
49282.87499999983,157.97653541020935,739.9477316146982
49282.9166666665,157.99904280919424,738.7554981812874
49282.95833333316,158.0215517908895,748.9543653914529
49282.999999999825,158.04406241849642,756.5232567415723
49283.04166666649,158.0665747021614,757.0435524499053
49283.083333333154,158.08908864056352,759.0620918188351
49283.12499999982,158.1116041800728,761.6515344258964
49283.16666666648,158.13412149568597,764.1614577407418
49283.20833333315,158.15664039720167,766.0779257717052
49283.24999999981,158.1791608696513,767.0918014001153
49283.291666666475,158.2016831774586,775.5673640613832
49283.33333333314,158.22420706548883,784.2578701574009
49283.3749999998,158.24673251019556,773.3981834751294
49283.41666666647,158.2692597901357,751.4748935114095
49283.45833333313,158.29178865263046,737.4395201141544
49283.499999999796,158.31431916479502,728.0415676783645
49283.54166666646,158.33685133371517,717.3837145857573
49283.583333333125,158.35938516266174,706.9821083988015
49283.62499999979,158.38192065046601,698.1789935006781
49283.66666666645,158.4044577975651,693.3753471029652
49283.70833333312,158.4269966021042,691.3785743112326
49283.74999999978,158.4495370674051,696.5147234877282
49283.791666666446,158.4720791922182,717.5293454714396
49283.83333333311,158.49462288418675,737.7308184190734
49283.874999999774,158.51716841144486,738.7663784971534
